Phrase	Cognitive Distortion
A friend or family member who normally responds to me does not respond in the way I expect, so I decide that the relationship has been a waste of time.	Filtering
Fixating on the next day is Monday, and this ruins my Sunday.	Filtering
Everything that could go wrong did.	Filtering
I have the worst luck in the entire world.	Filtering
I just failed that math test. I’m no good at school, and I might as well quit.	Filtering
It’s performance review time at my company, and my manager compliments my hard work several times. In the end, they make one improvement suggestion. I leave the meeting feeling miserable and dwell on that one suggestion all day long.	Filtering
My husband says he wishes I was better at housekeeping, so I must be a lousy wife.	Filtering
I am an expert in my field and was asked to present a one-day workshop at a local college. During my presentation, I noticed that a student walks out and never returns. After class, many students come up to me to thank me for my valuable presentation. However, I drive home feeling angry at the one student who left. I also keep anxiously self-doubting my own work, wondering if the student would have stayed if my lecture had been more interesting.	Filtering
I have long struggled with major depressive disorder and anxiety. Through psychotherapy, I have started to learn how to forgive those who have hurt ne in my past. By forgiving my mother, I had developed a closer relationship with her and had even started to trust her more. One day I opened up to my mother about my diagnosis of depression. My mother responded less compassionately than I had expected. I became infuriated and determined that I never should have forgiven my mother in the first place. Although my mother apologized for the misunderstanding, I refused to talk to her and now I feel that therapy was a waste of time.	Filtering
No one is going to like me	Filtering
I can never do anything right	Filtering
The world is a terrible place and it’s getting worse every day	Filtering
I have a good day at work, but then the restaurant messes up my takeout and my whole day is ruined.	Filtering
I obsess about the one question I got wrong on a test.	Filtering
I can still remember a review at work probably 10 years ago where I got a piece of feedback that I needed to manage my stress levels better. I’m sure my boss had a half dozen nice things to say, but I don’t remember any of them.	Filtering
I fall out of love with my partner beacuse I only notice the bad that they do.	Filtering
If someone compliments the way I look forward, I think they’re just being nice. If my boss tells me how comprehensive my report was, I discount it as something anyone else could do. If I do well in that job interview, I think it’s because they didn’t realize I'm not that good.	Filtering
The only events that matter are failures. I should measure myself by my errors.	Filtering
I had a long block during one of my interview questions. I’ll never be able to answer any interview questions without stuttering.	Filtering
My trainer provided me with some feedback. He said I was very quick, but I needed to work on my resistance. I can't help but feel like I'm not good enough.	Filtering
It makes no difference if I have really good grades or if I improve; I should concentrate on why I did not achieve 100%.	Filtering
When someone compliments my programming abilities, I tend to believe that it is something that everyone can and should do.	Filtering
I quickly grow tired of people because I begin to focus solely on their flaws.	Filtering
I'm still obsessed with a mistake I made over ten years ago.	Filtering
I'm having a good day until I get home and see everything is a mess and people are screaming and I can't have piece.	Filtering
It is no longer worthwhile to have children because the world is so bad.	Filtering
I begin to realize that in no time, classes will resume and my vacation will be over.	Filtering
My mother expressed her wish that I were a better cook, so I'll never be good at it.	Filtering
if i receive feedback at work which says I'm a great team player, I have wonderful initiative, I have creative ideas and I could work on being more punctual, I focus solely on the fact that my boss said I should be more punctual and ignore all the other positive feedback.	Filtering
When someone praises my programming skills, I tend to believe that it is something that everyone can and should do.	Filtering
I quickly became bored with other people because I started focusing only on their shortcomings.	Filtering
It makes no difference if I have very good grades or if I improve; I have to concentrate on why I am not at 100%.	Filtering
There's no point in having children anymore because the world is so bad.	Filtering
I was obsessed with one question that I got wrong in the exam.	Filtering
My coach gave me some advice. He said that I was very fast, but I needed to work on my endurance. I couldn't help but feel that I wasn't good enough.	Filtering
I had a good day at work, but then the restaurant messed up my order and my whole day was ruined.	Filtering
I had a long standoff during one of my interview questions. I will never be able to answer interview questions without stuttering.	Filtering
I still remember a review at work maybe 10 years ago where I got feedback that I needed to manage my stress levels better. I'm sure my boss had half a dozen good things to say, but I don't remember any of them.	Filtering
I was having a good day until I got home and saw everything was a mess and people were screaming and I couldn't have piece.	Filtering
If I fail my final, my life will be over.	Catastrophizing
If I fail this test, I will never pass school, and I will be a total failure in life.	Catastrophizing
If I don’t recover quickly from this procedure, I will never get better, and I will be disabled my entire life.	Catastrophizing
If my partner leaves me, I will never find anyone else, and I will never be happy again.	Catastrophizing
Not getting hired following a job interview is expected to result in the inability to attain a job at all, ultimately resulting in poverty and homelessness.	Catastrophizing
Giving a class presentation is expected to cause embarrassment and failure, leading me to never show my face at school again.	Catastrophizing
Receiving a shot from the doctor is expected to be so overwhelming that it will result in fainting.	Catastrophizing
The end of a romantic relationship just means that I am unlovable.	Catastrophizing
I perceive a child’s skinned knee as suggesting that the playground is a far too dangerous place for the child to play.	Catastrophizing
I got a pimple and everyone thinks I am ugly.	Catastrophizing
After breaking my diet for a cookie, I believe I am a total failure at dieting and destined to be overweight forever.	Catastrophizing
After experiencing consistent headaches over the course of a week, I believe i am suffering from a brain tumor.	Catastrophizing
After my food poisoning incident, I believe all restaurants are dangerous and associated with terrible health outcomes.	Catastrophizing
I believe that riding on a boat is dangerous because it is sure to sink, causing all passengers to drown.	Catastrophizing
I am a new driver and I experienced a fender-bender and after that I decided to never drive again because I will always be a terrible driver.	Catastrophizing
I messed up a special dinner so I am a terrible cook that can’t do anything right.	Catastrophizing
I tripped over a rock while jogging and I realized that I am uncoordinated and that continuing running is likely to result in serious injury.	Catastrophizing
I watched a scary movie and I am convinced that it will come true.	Catastrophizing
After hearing about a shark attack on the other side of the world, I believe it’s unsafe to set foot in the ocean.	Catastrophizing
After seeing a documentary about a girl who was killed by her tinder date, I believe it is unsafe to meet new people online and that I should avoid it.	Catastrophizing
A girl was brutally killed in a theme park, so if I want to live a long life, I should avoid going there.	Catastrophizing
I'm going to avoid eating out after seeing a YouTube video about how filthy some restaurants are.	Catastrophizing
Everyone must think I'm disgusting because I'm so hairy.	Catastrophizing
My child's skinned knee suggests to me that the playground is far too dangerous for the child to play in.	Catastrophizing
The end of a relationship simply indicates that I am not good at them and should be alone instead.	Catastrophizing
I believe I will never be happy again because the person I loved the most died.	Catastrophizing
I was so embarrassed by my poor presentation that I avoided returning to class.	Catastrophizing
After watching a shark attack video, I'm afraid of the ocean and shouldn't go near it.	Catastrophizing
Humanity is a disgrace, and we should all be extinct, according to history.	Catastrophizing
No one is going to listen to me because of my stuttering.	Catastrophizing
If I fail in the final, my life will be over.	Catastrophizing
If I fail this exam, I will never graduate from school, and I will fail miserably in life.	Catastrophizing
I consider the child's chipped knee to indicate that the playground is too dangerous a place for the child to play.	Catastrophizing
After my food poisoning incident, I believe that all restaurants are dangerous and associated with poor health.	Catastrophizing
Receiving an injection from the doctor is expected to be so overwhelming that it will result in fainting.	Catastrophizing
I believed that getting on the boat was dangerous because it would definitely sink, causing all the passengers to drown.	Catastrophizing
If my child does bad things, it’s because I am a bad parent.	Polarized
If I couldn’t get that right, then I can’t be trusted with bigger projects. There’s no way I can ask for a raise now. They’re probably just keeping me around until they can hire someone else.	Polarized
I’m not cut out for this parenting thing. If I can’t even get my kids to school on time, what kind of dad am I?	Polarized
Who lets themselves live like this?, after all that money spent on therapy, I can’t even clean up after myself.	Polarized
I will never be fluent.	Polarized
I answered one question wrong, so I’m a failure.	Polarized
I didn’t get the promotion, so I might as well quit my job.	Polarized
I made a mistake because I’m a bad person.	Polarized
My sister is suicidal because I do not support her adequately, and as a result, I am a terrible person.	Polarized
I did not receive the highest possible grade, so I must withdraw from school.	Polarized
Because I did not learn quickly enough, I am a poor worker.	Polarized
I will never be fluent, no matter how hard I try.	Polarized
If my child acts recklessly, it is because I am a terrible parent.	Polarized
They're probably going to fire me because I made so many mistakes.	Polarized
I'm a complete loser with nothing to offer. Nobody wants to go out with me. Why bother looking for the right person when I'll never find it?	Polarized
I'll never be able to overcome my condition, and I let my anxiety ruin every situation.	Polarized
Even though I am aware that I have dyslexia, I still feel stupid whenever I make a mistake.	Polarized
There is no in-between in my life; it is either perfect or a disaster.	Polarized
If I can't eat clean all of the time, I give up and eat M&M's.	Polarized
I don't see the point of going to the gym if I can't go every day. I'll never achieve my fitness goals anyway.	Polarized
It's not worth doing something if I can't do it perfectly.	Polarized
I gave up my dream of becoming a singer because I see no point in pursuing it if I can't be the best.	Polarized
